ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_over_error,ang_sep
40.47918638007766,42.88146192845137,14.169255,14.620318,13.513163,1.9279000014055785,11.431522,0.12359021610833168
40.662752517707595,42.82971408150294,11.377925,11.586282,11.0331135,1.949399655306729,87.59556,0.12440111015627553
40.6563898061915,42.68593142098442,17.106052,18.257814,16.050997,1.9622718103093462,17.43443,0.1251509609508094
40.35953300524515,42.80357836125325,13.242955,13.589234,12.733819,1.9925736463628585,116.25922,0.12554993754364857
40.692389923926605,42.75973345904701,18.541677,19.917755,17.353703,1.9327369072240288,7.386443,0.12599588159196334
40.379732247427036,42.6873217122771,17.237011,18.381283,16.191683,1.8529128402136645,14.47174,0.12756047557396724
40.40253314207438,42.66773663407523,17.13055,18.445122,16.012896,1.9404588710531032,18.74054,0.1279840746221467
40.438488544320975,42.8749393965362,19.203476,20.192852,18.212053,1.7501566832884436,3.986389,0.12832956306121693
40.680487695496765,42.709357912833816,14.74604,14.71152,13.651212,2.5931942614953383,3.3495634,0.12843888392831773
40.46543278141868,42.63980408638326,15.956096,16.761543,15.069486,2.0731872947599386,32.280735,0.12850782807493408
40.35277426745852,42.79835427373973,17.046814,18.120909,16.036362,1.984289622246896,21.34112,0.1286571231029681
40.38616779843439,42.67892022925129,17.083193,18.157438,16.066576,2.0335694133944817,17.587372,0.1289799538266752
40.677482493652256,42.70253980801015,18.754982,19.997837,17.475033,1.7114296183974376,6.143936,0.12940371513041643
40.4938857109188,42.8896799183881,15.660974,16.244844,14.930765,1.473600508334319,34.657642,0.129493287023314
40.67943056953985,42.704899493777795,12.72272,13.018526,12.255604,1.9698561901935219,107.16336,0.12962480104135385
40.491332251502925,42.88954356557793,15.458236,16.135643,14.632055,2.320395053310054,22.857817,0.1296575215590879
40.696650458375395,42.77855261230596,19.537256,20.923918,18.274635,2.0415245407717757,4.2461467,0.13018439621645037
40.69812719182438,42.76297839074251,16.039831,16.831062,15.161836,2.037539275940458,39.739693,0.13019567512065697
40.685763736572746,42.80996855817805,17.955257,19.245173,16.826231,1.9657054773580265,11.308279,0.13033399426544934
40.570792193515686,42.63664958080885,17.666101,18.828255,16.581528,1.7716911552490333,8.74109,0.13033598250591497
40.675467597656656,42.696639064780065,20.039444,21.185932,18.956022,2.1416977245979694,3.0575838,0.13092391494550934
